Bengali,Meitei Mayek
ফোঙদোখিবনি,ꯐꯣꯡꯗꯣꯈꯤꯕꯅꯤ
শেংলে,ꯁꯦꯡꯂꯦ
শোরাৎ,ꯁꯣꯔꯥꯠ
খুজিং,ꯈꯨꯖꯤꯡ
ক্রুদ,ꯀꯔ꯭ꯨꯗ
জয়েন্তনা,ꯖꯌꯦꯟꯇꯅ
নীংবু,ꯅꯤꯡꯕꯨ
জাতিদা,ꯖꯥꯇꯤꯗ
হরাওনরে,ꯍꯔꯥꯑꯣꯅꯔꯦ
গিরিশ,ꯒꯤꯔꯤꯁ
পুগনু,ꯄꯨꯒꯅꯨ
মৈঙাল,ꯃꯩꯉꯥꯜ
নিজাম,ꯅꯤꯖꯥꯝ
থীংনবা,ꯊꯤꯡꯅꯕ
চোকথৈ,ꯆꯣꯛꯊꯩ
অখুম্,ꯑꯈꯨꯝ
মোনশুনগী,ꯃꯣꯟꯁꯨꯟꯒꯤ
চঙ্শিল্লক্লে,ꯆꯡꯁꯤꯜꯂꯛꯂꯦ
আইজোল,ꯑꯥꯏꯖꯣꯜ
থমদনা,ꯊꯝꯗꯅ
উৎপগী,ꯎꯠꯄꯒꯤ
সনারা,ꯁꯅꯥꯔ
থাজরে,ꯊꯥꯖꯔꯦ
অৱাংগী,ꯑꯋꯥꯡꯒꯤ
মখোল,ꯃꯈꯣꯜ
লিৎপা,ꯂꯤꯠꯞ
উনুংদা,ꯎꯅꯨꯡꯗ
পর্পোজ,ꯄꯔꯄꯣꯖ
য়ামদে,ꯌꯥꯝꯗꯦ
রিজনস,ꯔꯤꯖꯟꯁ
পুমতোক,ꯄꯨꯝꯇꯣꯛ
মীয়াই,ꯃꯤꯌꯥꯏ
নহাকনা,ꯅꯍꯥꯛꯅ
অমদনা,ꯑꯃꯗꯅ
চুপ্লি,ꯆꯨꯞꯂꯤ
চাংসি,ꯆꯥꯡꯁꯤ
পোত্থাহনবা,ꯄꯣꯠꯊꯥꯍꯟꯕ
তৌজখি,ꯇꯧꯖꯈꯤ
মাইয়োন,ꯃꯥꯏꯌꯣꯟ
মাখুম,ꯃꯥꯈꯨꯝ
পুননবা,ꯄꯨꯅꯅꯕ
লাইয়েংনবগীদমক,ꯂꯥꯏꯌꯦꯡꯅꯕꯒꯤꯗꯃꯛ
মচাসি,ꯃꯆꯥꯁꯤ
কোওর্দিনেটরশীংনা,ꯀꯣꯑꯣꯔꯗꯤꯅꯦꯇꯔꯁꯤꯡꯅ
মসলশীংদুদা,ꯃꯁꯜꯁꯤꯡꯗꯨꯗ
ফাওরগা,ꯐꯥꯑꯣꯔꯒ
পোত্থাহনগদবা,ꯄꯣꯠꯊꯥꯍꯟꯒꯗꯕ
শিজিন্নবা,ꯁꯤꯖꯤꯟꯟꯕ
লীলাগী,ꯂꯤꯂꯥꯒꯤ
তম্মু,ꯇꯝꯃꯨ
নমাদা,ꯅꯃꯥꯗ
অশোকঅপনশীংনা,ꯑꯁꯣꯛꯑꯄꯟꯁꯤꯡꯅ
মপাশি,ꯃꯄꯥꯁꯤ
লম্গী,ꯂꯝꯒꯤ
থাবসি,ꯊꯥꯕꯁꯤ
মেটাবোলিজমগা,ꯃꯦꯇꯥꯕꯣꯂꯤꯖꯝꯒ
লল্লোনঈতিক্তা,ꯂꯜꯂꯣꯟꯏꯇꯤꯛꯇ
লিভিং,ꯂꯤꯚꯤꯡ
চঙনবা,ꯆꯡꯅꯕ
লাওথোকপীরম্বা,ꯂꯥꯑꯣꯊꯣꯛꯄꯤꯔꯝꯕ
মুভমেন্ট,ꯃꯨꯚꯃꯦꯟꯇ
মিলদা,ꯃꯤꯜꯗ
ডাক্তর,ꯗꯥꯛꯇꯔ
হাঙলে,ꯍꯥꯡꯂꯦ
হায়বনচিংবা,ꯍꯥꯌꯕꯅꯆꯤꯡꯕ
মীরোনবদা,ꯃꯤꯔꯣꯟꯕꯗ
য়াহনগদগে,ꯌꯥꯍꯟꯒꯗꯒꯦ
থাউদা,ꯊꯥꯎꯗ
ৱাখল্লোনশীং,ꯋꯥꯈꯜꯂꯣꯟꯁꯤꯡ
লায়েংনবগীদমক,ꯂꯥꯌꯦꯡꯅꯕꯒꯤꯗꯃꯛ
মমাসু,ꯃꯃꯥꯁꯨ
খনবা,ꯈꯟꯕ
থম্বালগী,ꯊꯝꯕꯥꯜꯒꯤ
চহিশিং,ꯆꯍꯤꯁꯤꯡ
ফংলবী,ꯐꯪꯂꯕꯤ
লংননবা,ꯂꯪꯅꯅꯕ
বেকিং,ꯕꯦꯀꯤꯡ
ঐখোয়,ꯑꯩꯈꯣꯌ
তিলহৌ,ꯇꯤꯜꯍꯧ
চাওখতহনবগী,ꯆꯥꯑꯣꯈꯠꯍꯟꯕꯒꯤ
লোকরদগী,ꯂꯣꯀꯔꯗꯒꯤ
মোহিট,ꯃꯣꯍꯤꯠ
নৈনবা,ꯅꯩꯅꯕ
সেলগা,ꯁꯦꯜꯒ
লাকপসিদা,ꯂꯥꯛꯄꯁꯤꯗ
লমচৎশাজৎ,ꯂꯝꯆꯠꯁꯥꯖꯠ
অরুনাচলগী,ꯑꯔꯨꯅꯥꯆꯜꯒꯤ
ইমেজদা,ꯏꯃꯦꯖꯗ
লেনিন,ꯂꯦꯅꯤꯟ
পীক্লা,ꯄꯤꯛꯂ
রেবিজ,ꯔꯦꯕꯤꯖ
মকুগী,ꯃꯀꯨꯒꯤ
থুমহন্দবা,ꯊꯨꯝꯍꯟꯗꯕ
বেসিন,ꯕꯦꯁꯤꯟ
খংলম্লগনি,ꯈꯪꯂꯝꯂꯒꯅꯤ
নিংথি,ꯅꯤꯡꯊꯤ
নিকপদু,ꯅꯤꯛꯄꯗꯨ
ওইরি,ꯑꯣꯏꯔꯤ
মীতয়েংদা,ꯃꯤꯠꯌꯦꯡꯗ
হেন্বা,ꯍꯦꯟꯕ
এলাকা,ꯑꯦꯂꯥꯀꯥ
রেসিও,ꯔꯦꯁꯤꯑꯣ
তুংশীনবা,ꯇꯨꯡꯁꯤꯟꯕ
থুংলরদুনা,ꯊꯨꯡꯂꯔꯗꯨꯅ
ঊতকনি,ꯎꯠꯀꯅꯤ
পেজগী,ꯄꯦꯖꯒꯤ
লৈকোল,ꯂꯩꯀꯣꯜ
লাইয়েংগীদমক্তা,ꯂꯥꯏꯌꯦꯡꯒꯤꯗꯃꯛꯇ
মকুবু,ꯃꯀꯨꯕꯨ
মরমনি,ꯃꯔꯝꯅꯤ
পাউদা,ꯄꯥꯎꯗ
দিএসি,ꯗꯤꯑꯦꯁꯤ
চাউথোক,ꯆꯥꯎꯊꯣꯛ
পাকহন্নবগীদমক্তা,ꯄꯥꯛꯍꯟꯅꯕꯒꯤꯗꯃꯛꯇ
লেভেল,ꯂꯦꯚꯦꯜ
ঙমহল্লকই,ꯉꯝꯍꯜꯂꯛꯏ
চঙলকপসু,ꯆꯡꯂꯛꯄꯁꯨ
নিপাল,ꯅꯤꯄꯥꯜ
তাইবং,ꯇꯥꯏꯕꯪ
নিংঙোল,ꯅꯤꯡꯉꯣꯜ
খংলাক,ꯈꯪꯂꯥꯛ
লোয়নবীগদবনি,ꯂꯣꯌꯅꯕꯤꯒꯗꯕꯅꯤ
পোকপা,ꯄꯣꯛꯄ
ৱাশিং,ꯋꯥꯁꯤꯡ
এদুকেসনগা,ꯑꯦꯗꯨꯀꯦꯁꯟꯒ
মশাগা,ꯃꯁꯥꯒ
খঙ্লে,ꯈꯡꯂꯦ
চৎনফম,ꯆꯠꯅꯐꯝ
ঈংলবা,ꯏꯡꯂꯕ
মঙালনা,ꯃꯉꯥꯜꯅ
মসলশীং,ꯃꯁꯜꯁꯤꯡ
ফজবদা,ꯐꯖꯕꯗ
মহাকসু,ꯃꯍꯥꯛꯁꯨ
থম্মী,ꯊꯝꯃꯤ
পীবনা,ꯄꯤꯕꯅ
কনশীনহন্দ্রিবমখৈ,ꯀꯟꯁꯤꯟꯍꯟꯗꯔ꯭ꯤꯕꯃꯈꯩ
লমহাংনরে,ꯂꯝꯍꯥꯡꯅꯔꯦ
পামজদবা,ꯄꯥꯝꯖꯗꯕ
হোংনা,ꯍꯣꯡꯅ
উৎলে,ꯎꯠꯂꯦ
অশৌবদি,ꯑꯁꯧꯕꯗꯤ
তোকচখিনি,ꯇꯣꯛꯆꯈꯤꯅꯤ
নশাগী,ꯅꯁꯥꯒꯤ
শীংনবা,ꯁꯤꯡꯅꯕ
অশত্পা,ꯑꯁꯠꯄ
য়ৌনা,ꯌꯧꯅ
কোলশীং,ꯀꯣꯜꯁꯤꯡ
খোমজিনগী,ꯈꯣꯝꯖꯤꯟꯒꯤ
কন্নবগীদমক,ꯀꯟꯟꯕꯒꯤꯗꯃꯛ
তুংইনবশিং,ꯇꯨꯡꯏꯟꯕꯁꯤꯡ
শেনফম,ꯁꯦꯟꯐꯝ
হায়নবা,ꯍꯥꯌꯅꯕ
উপ্পা,ꯎꯞꯄ
ইমুংমনুংখক্কী,ꯏꯃꯨꯡꯃꯅꯨꯡꯈꯛꯀꯤ
ইনফোর্মেসনশীংগী,ꯏꯟꯐꯣꯔꯃꯦꯁꯟꯁꯤꯡꯒꯤ
ঙকচাও,ꯉꯛꯆꯥꯑꯣ
শুংদাইনবী,ꯁꯨꯡꯗꯥꯏꯅꯕꯤ
শিজিন্নহন্নিংবগী,ꯁꯤꯖꯤꯟꯅꯍꯟꯅꯤꯡꯕꯒꯤ
তৌখিদে,ꯇꯧꯈꯤꯗꯦ
ককপগী,ꯀꯛꯄꯒꯤ
পীখি,ꯄꯤꯈꯤ
খংফুক,ꯈꯪꯐꯨꯛ
হোতনদুনা,ꯍꯣꯠꯅꯗꯨꯅ
কুপশিনগদবনি,ꯀꯨꯞꯁꯤꯟꯒꯗꯕꯅꯤ
চংলে,ꯆꯪꯂꯦ
নারবগে,ꯅꯥꯔꯕꯒꯦ
চৈথেং,ꯆꯩꯊꯦꯡ
লমদনা,ꯂꯝꯗꯅ
তেক্তা,ꯇꯦꯛꯇ
অমমমনা,ꯑꯃꯃꯝꯅ
লিফলেটশীং,ꯂꯤꯐꯂꯦꯠꯁꯤꯡ
মতুম,ꯃꯇꯨꯝ
থিজিন,ꯊꯤꯖꯤꯟ
য়েংবা,ꯌꯦꯡꯕ
মকুদা,ꯃꯀꯨꯗ
ফংমাং,ꯐꯪꯃꯥꯡ
য়োংদু,ꯌꯣꯡꯗꯨ
তৌদ্রে,ꯇꯧꯗꯔ꯭ꯦ
নোটশীং,ꯅꯣꯠꯁꯤꯡ
পীননবা,ꯄꯤꯅꯅꯕ
খোমজিনবা,ꯈꯣꯝꯖꯤꯟꯕ
কিহনবশীংনা,ꯀꯤꯍꯟꯕꯁꯤꯡꯅ
কোকহল্লিবা,ꯀꯣꯛꯍꯜꯂꯤꯕ
থম্বগী,ꯊꯝꯕꯒꯤ
চংবগী,ꯆꯪꯕꯒꯤ
তৌননবা,ꯇꯧꯅꯅꯕ
থোৎপা,ꯊꯣꯠꯄ
হনজিনবা,ꯍꯟꯖꯤꯟꯕ
পাংখি,ꯄꯥꯡꯈꯤ
মীংগৌ,ꯃꯤꯡꯒꯧ
খাভারতকী,ꯈꯥꯚꯥꯔꯠꯀꯤ
নচাগী,ꯅꯆꯥꯒꯤ
তুবদা,ꯇꯨꯕꯗ
চূননা,ꯆꯨꯅꯅ
তপ্পা,ꯇꯞꯄ
থেংথদনবগীদমক,ꯊꯦꯡꯊꯗꯅꯕꯒꯤꯗꯃꯛ
মঙায়,ꯃꯉꯥꯌ
য়াওরি,ꯌꯥꯑꯣꯔꯤ
পিরোই,ꯄꯤꯔꯣꯏ
বুধিজম,ꯕꯨꯙꯤꯖꯝ
মুক্নি,ꯃꯨꯛꯅꯤ
নুংঙাইমনলক্তবদগী,ꯅꯨꯡꯉꯥꯏꯃꯟꯂꯛꯇꯕꯗꯒꯤ
শকয়েং,ꯁꯛꯌꯦꯡ
শীনবা,ꯁꯤꯅꯕ
নুংশা,ꯅꯨꯡꯁꯥ
হিদাক,ꯍꯤꯗꯥꯛ
তৌশিনবীগদবনি,ꯇꯧꯁꯤꯟꯕꯤꯒꯗꯕꯅꯤ
থৈগনি,ꯊꯩꯒꯅꯤ
কৈথেলগা,ꯀꯩꯊꯦꯜꯒ
ঈংহনবা,ꯏꯡꯍꯟꯕ
চেৎনা,ꯆꯦꯠꯅ
প্লোটশীং,ꯄꯂ꯭ꯣꯠꯁꯤꯡ
তৌখি,ꯇꯧꯈꯤ
মোংয়া,ꯃꯣꯡꯌꯥ
হৈতবা,ꯍꯩꯇꯕ
করিনা,ꯀꯔꯤꯅ
শীংনরক্লিবা,ꯁꯤꯡꯅꯔꯛꯂꯤꯕ
থোইদোক,ꯊꯣꯏꯗꯣꯛ
তৌনদনা,ꯇꯧꯅꯗꯅ
হায়বদি,ꯍꯥꯌꯕꯗꯤ
লোয়শঙ,ꯂꯣꯌꯁꯡ
নীংখা,ꯅꯤꯡꯈꯥ
শুবদা,ꯁꯨꯕꯗ
থম্বসি,ꯊꯝꯕꯁꯤ
হৈরগা,ꯍꯩꯔꯒ
ফমদগী,ꯐꯝꯗꯒꯤ
থবকশীংগীদমক্তা,ꯊꯕꯛꯁꯤꯡꯒꯤꯗꯃꯛꯇ
ময়ুম,ꯃꯌꯨꯝ
শন্তাই,ꯁꯟꯇꯥꯏ
উত্তম,ꯎꯠꯇꯝ
য়াউরে,ꯌꯥꯎꯔꯦ
মীহুন,ꯃꯤꯍꯨꯟ
চাউবী,ꯆꯥꯎꯕꯤ
করনেল,ꯀꯔꯅꯦꯜ
হিংচা,ꯍꯤꯡꯆꯥ
মণিগী,ꯃꯅꯤꯒꯤ
য়াওই,ꯌꯥꯑꯣꯏ
ইম্ফাল,ꯏꯝꯐꯥꯜ
উনদুনা,ꯎꯅꯗꯨꯅ
পায়খৎলক্লিবা,ꯄꯥꯌꯈꯠꯂꯛꯂꯤꯕ
লৌকোল,ꯂꯧꯀꯣꯜ
থাদোক,ꯊꯥꯗꯣꯛ
ইদিতরনি,ꯏꯗꯤꯇꯔꯅꯤ
শেংদোকই,ꯁꯦꯡꯗꯣꯛꯏ
ঙক্লে,ꯉꯛꯂꯦ
কোকহন্নবগীদমক,ꯀꯣꯛꯍꯟꯅꯕꯒꯤꯗꯃꯛ
অমগী,ꯑꯃꯒꯤ
ফজরকই,ꯐꯖꯔꯛꯏ
পমগে,ꯄꯝꯒꯦ
মথিময়ুংশীঙ,ꯃꯊꯤꯃꯌꯨꯡꯁꯤꯡ
সেলগী,ꯁꯦꯜꯒꯤ
মীপাল,ꯃꯤꯄꯥꯜ
লাইদু,ꯂꯥꯏꯗꯨ
ইতানা,ꯏꯇꯥꯅ
তপ্তা,ꯇꯞꯇꯥ
মমলনা,ꯃꯃꯜꯅ
তৎনথানবা,ꯇꯠꯅꯊꯥꯅꯕ
ফর্টিলাইজরগুম্না,ꯐꯔꯇꯤꯂꯥꯏꯖꯔꯒꯨꯝꯅ
ইনক্লুজন,ꯏꯟꯀꯂ꯭ꯨꯖꯟ
শুক্পু,ꯁꯨꯛꯄꯨ
খনবদি,ꯈꯟꯕꯗꯤ
জীবনি,ꯖꯤꯕꯅꯤ
থারকপা,ꯊꯥꯔꯛꯄ
হৈরকপা,ꯍꯩꯔꯛꯄ
করবার,ꯀꯔꯕꯥꯔ
ঐনদি,ꯑꯩꯅꯗꯤ
কোকই,ꯀꯣꯛꯏ
মাবুনি,ꯃꯥꯕꯨꯅꯤ
নাতোনগুম্বা,ꯅꯥꯇꯣꯟꯒꯨꯝꯕ
লৌখতপা,ꯂꯧꯈꯠꯄ
করিশু,ꯀꯔꯤꯁꯨ
শেন্মিৎলোনদা,ꯁꯦꯟꯃꯤꯠꯂꯣꯟꯗ
অমগসু,ꯑꯃꯒꯁꯨ
করনেলগী,ꯀꯔꯅꯦꯜꯒꯤ
ইজৎকা,ꯏꯖꯠꯀ
এনগেজ,ꯑꯦꯟꯒꯦꯖ
তোংলগা,ꯇꯣꯡꯂꯒ
রিকেট,ꯔꯤꯀꯦꯠ
খংবগী,ꯈꯪꯕꯒꯤ
তল্দি,ꯇꯜꯗꯤ
ঙাইরিবশীংনসু,ꯉꯥꯏꯔꯤꯕꯁꯤꯡꯅꯁꯨ
লৈতরে,ꯂꯩꯇꯔꯦ
খৃষ্ট,ꯈꯔ꯭ꯤꯁꯇ
মতশীং,ꯃꯠꯁꯤꯡ
পঙ্বা,ꯄꯡꯕ
য়ামদ্রিঙৈদা,ꯌꯥꯝꯗꯔ꯭ꯤꯉꯩꯗ
হুইনা,ꯍꯨꯏꯅ
কোটাক,ꯀꯣꯇꯥꯛ
থারবা,ꯊꯥꯔꯕ
ঊতনবা,ꯎꯇꯟꯕ
শরুদা,ꯁꯔꯨꯗ
লৈশিন,ꯂꯩꯁꯤꯟ
থিববু,ꯊꯤꯕꯕꯨ
থোংগী,ꯊꯣꯡꯒꯤ
ফাইনা,ꯐꯥꯏꯅ
প্রোপ্রাইটর,ꯄꯔ꯭ꯣꯄꯔ꯭ꯥꯏꯇꯔ
মৈতদি,ꯃꯩꯇꯗꯤ
অমরনাথ,ꯑꯃꯔꯅꯥꯊ
অনিখক,ꯑꯅꯤꯈꯛ
পাউদি,ꯄꯥꯎꯗꯤ
তৌজরো,ꯇꯧꯖꯔꯣ
ৱারেপ,ꯋꯥꯔꯦꯞ
লোইরে,ꯂꯣꯏꯔꯦ
য়াইদা,ꯌꯥꯏꯗ
শীরবা,ꯁꯤꯔꯕ
নোংচূপ,ꯅꯣꯡꯆꯨꯞ
সিতল,ꯁꯤꯇꯜ
দ্রিম,ꯗꯔ꯭ꯤꯝ
থোক্লি,ꯊꯣꯛꯂꯤ
অরোরার,ꯑꯔꯣꯔꯥꯔ
কয়ামরোম,ꯀꯌꯥꯃꯔꯣꯝ
দরকার,ꯗꯔꯀꯥꯔ
ৱাখল,ꯋꯥꯈꯜ
মহংদোক,ꯃꯍꯪꯗꯣꯛ
লৈতেম,ꯂꯩꯇꯦꯝ
লৌরে,ꯂꯧꯔꯦ
পাবীবা,ꯄꯥꯕꯤꯕ
ভেটরিনরিয়ানশীংগী,ꯚꯦꯇꯔꯤꯅꯔꯤꯌꯥꯟꯁꯤꯡꯒꯤ
হন্দোক্লোয়শিংবু,ꯍꯟꯗꯣꯛꯂꯣꯌꯁꯤꯡꯕꯨ
মীকুপ,ꯃꯤꯀꯨꯞ
পোৎশম,ꯄꯣꯠꯁꯝ
দোসাই,ꯗꯣꯁꯥꯏ
কল্পনা,ꯀꯜꯄꯅꯥ
উরকপা,ꯎꯔꯛꯄ
ফম্না,ꯐꯝꯅ
লৌবিবা,ꯂꯧꯕꯤꯕ
শিহৌরে,ꯁꯤꯍꯧꯔꯦ
য়েংঙু,ꯌꯦꯡꯉꯨ
পায়খতলক্লি,ꯄꯥꯌꯈꯠꯂꯛꯂꯤ
ব্রেদ,ꯕꯔ꯭ꯦꯗ
খরতমক,ꯈꯔꯇꯃꯛ
তৌরকপদগী,ꯇꯧꯔꯛꯄꯗꯒꯤ
খোইখরে,ꯈꯣꯏꯈꯔꯦ
হোরেল,ꯍꯣꯔꯦꯜ
ফাওনফম,ꯐꯥꯑꯣꯅꯐꯝ
লাকই,ꯂꯥꯛꯏ
থৌরঙ,ꯊꯧꯔꯡ
য়ম্না,ꯌꯝꯅ
শাজত,ꯁꯥꯖꯠ
খোঙলৈ,ꯈꯣꯡꯂꯩ
লোইশঙ্দা,ꯂꯣꯢꯁꯡꯗ
নিকপগা,ꯅꯤꯛꯄꯒ
ঙমদ্রে,ꯉꯝꯗꯔ꯭ꯦ
মশকসু,ꯃꯁꯛꯁꯨ
ৱালদা,ꯋꯥꯜꯗ
ৱাতলি,ꯋꯥꯠꯂꯤ
হুন্থরুবা,ꯍꯨꯟꯊꯔꯨꯕ
খংবীয়ু,ꯈꯪꯕꯤꯌꯨ
থিজিনহূমজিনবগী,ꯊꯤꯖꯤꯟꯍꯨꯝꯖꯤꯟꯕꯒꯤ
চাখিবা,ꯆꯥꯈꯤꯕ
লোইনৈ,ꯂꯣꯏꯅꯩ
সোইবম,ꯁꯣꯏꯕꯝ
পেরিস,ꯄꯦꯔꯤꯁ
মফম্দু,ꯃꯐꯝꯗꯨ
মখোয়,ꯃꯈꯣꯌ
য়াদবগী,ꯌꯥꯗꯕꯒꯤ
জাতিগী,ꯖꯥꯇꯤꯒꯤ
য়াওজবা,ꯌꯥꯑꯣꯖꯕ
থিজিনহূমজিল্লিবা,ꯊꯤꯖꯤꯟꯍꯨꯝꯖꯤꯜꯂꯤꯕ
লৌশিং,ꯂꯧꯁꯤꯡ
অদুমক্তদসু,ꯑꯗꯨꯃꯛꯇꯗꯁꯨ
নোকফদেগী,ꯅꯣꯛꯐꯗꯦꯒꯤ
থৌদাম,ꯊꯧꯗꯥꯝ
শানবু,ꯁꯥꯅꯕꯨ
হকচাং,ꯍꯛꯆꯥꯡ
ময়াদা,ꯃꯌꯥꯗ
মস্লিম,ꯃꯁꯂꯤꯝ
হল্লো,ꯍꯜꯂꯣ
মতম্দা,ꯃꯇꯝꯗ
লোইনা,ꯂꯣꯏꯅ
লাইথোকহনবনা,ꯂꯥꯏꯊꯣꯛꯍꯟꯕꯅ
য়ুনিট,ꯌꯨꯅꯤꯠ
শুদনা,ꯁꯨꯗꯅ
য়াবদি,ꯌꯥꯕꯗꯤ
তুংশিনফম,ꯇꯨꯡꯁꯤꯟꯐꯝ
নিয়মশীং,ꯅꯤꯌꯝꯁꯤꯡ
সাইজনি,ꯁꯥꯏꯖꯅꯤ
থুনমক,ꯊꯨꯅꯃꯛ
পলদগী,ꯄꯜꯗꯒꯤ
তাখেল,ꯇꯥꯈꯦꯜ
ঙম্মী,ꯉꯝꯃꯤ
ইতিক,ꯏꯇꯤꯛ
লোইবী,ꯂꯣꯏꯕꯤ
আইদিগা,ꯑꯥꯏꯗꯤꯒ
মুত্থৎকনু,ꯃꯨꯠꯊꯠꯀꯅꯨ
এগ্রিকলচরদা,ꯑꯦꯒꯔ꯭ꯤꯀꯜꯆꯔꯗ
বাংলা,ꯕꯥꯡꯂꯥ
দিজিট,ꯗꯤꯖꯤꯠ
থৌদোকশিং,ꯊꯧꯗꯣꯛꯁꯤꯡ
নংলবা,ꯅꯪꯂꯕ
কিয়োর,ꯀꯤꯌꯣꯔ
তৎলবা,ꯇꯠꯂꯕ
অমনি,ꯑꯃꯅꯤ
নিজরো,ꯅꯤꯖꯔꯣ
ফিসিং,ꯐꯤꯁꯤꯡ
থৌদনবা,ꯊꯧꯗꯅꯕ
ওভরওল,ꯑꯣꯚꯔꯑꯣꯜ
খুইরে,ꯈꯨꯏꯔꯦ
লৈফমদু,ꯂꯩꯐꯝꯗꯨ
শোকপলহন্দুনা,ꯁꯣꯛꯄꯜꯍꯟꯗꯨꯅ
থাজনবা,ꯊꯥꯖꯅꯕ
লিশাং,ꯂꯤꯁꯥꯡ
লৌবগা,ꯂꯧꯕꯒ
হাপকনু,ꯍꯥꯞꯀꯅꯨ
সাইকলশীং,ꯁꯥꯏꯀꯜꯁꯤꯡ
ওইনদি,ꯑꯣꯏꯅꯗꯤ
লেপখিদে,ꯂꯦꯞꯈꯤꯗꯦ
বোলশীং,ꯕꯣꯜꯁꯤꯡ
অকোনবা,ꯑꯀꯣꯟꯕ
য়ৌদনা,ꯌꯧꯗꯅ
খঙদবা,ꯈꯡꯗꯕ
কালেন,ꯀꯥꯂꯦꯟ
চোংথসি,ꯆꯣꯡꯊꯁꯤ
মথৌমঙম,ꯃꯊꯧꯃꯉꯝ
হীরমগী,ꯍꯤꯔꯝꯒꯤ
রক্তি,ꯔꯛꯇꯤ
ঙক্তা,ꯉꯛꯇ
পঙয়াম,ꯄꯡꯌꯥꯝ
থকপী,ꯊꯛꯄꯤ
ফংলক্লি,ꯐꯪꯂꯛꯂꯤ
মখোয়গী,ꯃꯈꯣꯌꯒꯤ
মওংদু,ꯃꯑꯣꯡꯗꯨ
হোৎলি,ꯍꯣꯠꯂꯤ
নাদনবা,ꯅꯥꯗꯅꯕ
অমরোম,ꯑꯃꯔꯣꯝ
লৈহনবগী,ꯂꯩꯍꯟꯕꯒꯤ
অাইরন,ꯑꯥꯏꯔꯟ
লৈতবা,ꯂꯩꯇꯕ
পিগনি,ꯄꯤꯒꯅꯤ
য়ৌখ্রে,ꯌꯧꯈꯔ꯭ꯦ
তৌবদু,ꯇꯧꯕꯗꯨ
হোৎনদবগী,ꯍꯣꯠꯅꯗꯕꯒꯤ
ওকশীংদা,ꯑꯣꯛꯁꯤꯡꯗ
পুশিনগদবা,ꯄꯨꯁꯤꯟꯒꯗꯕ
মুস্লিমশিংবু,ꯃꯨꯁꯂꯤꯝꯁꯤꯡꯕꯨ
ঙাইরি,ꯉꯥꯏꯔꯤ
ফগৎলি,ꯐꯒꯠꯂꯤ
তাউখৎনবা,ꯇꯥꯎꯈꯠꯅꯕ
লৈরিক,ꯂꯩꯔꯤꯛ
য়াররোই,ꯌꯥꯔꯔꯣꯏ
সেল্ফ,ꯁꯦꯜꯐ
থিবগী,ꯊꯤꯕꯒꯤ
রিতেল,ꯔꯤꯇꯦꯜ
অতেনবা,ꯑꯇꯦꯟꯕ
লৈখুন,ꯂꯩꯈꯨꯟ
ঙক্লি,ꯉꯛꯂꯤ
তৌবী,ꯇꯧꯕꯤ
শৌগতপীদুনা,ꯁꯧꯒꯠꯄꯤꯗꯨꯅ
পাৎশোয়,ꯄꯥꯠꯁꯣꯌ
